0.53, 0.73, 0.0, 0.04, 0.37, 0.5, 0.72, 0.56, 0.93
0.25, 0.67, 0.41, 0.47, 0.41, 0.78, 0.63, 0.61, 0.32
0.5, 0.82, 0.59, 0.07, 0.79, 0.01, 0.06, 0.62, 0.99
0.03, 0.36, 0.54, 0.85, 0.66, 0.63, 0.58, 0.77, 0.91
0.16, 0.7, 0.67, 0.55, 0.87, 0.86, 0.36, 0.48, 0.9
0.74, 0.97, 0.04, 0.3, 0.63, 0.32, 0.25, 0.29, 0.23
0.34, 0.38, 0.87, 0.6, 0.75, 0.56, 0.48, 0.68, 0.07
0.63, 0.31, 0.39, 0.95, 0.32, 0.45, 0.86, 0.17, 0.27
0.57, 0.2, 0.7, 0.41, 0.85, 0.49, 0.7, 0.25, 0.2
0.2, 0.37, 0.05, 0.96, 0.42, 0.65, 0.61, 0.46, 0.68
0.66, 0.83, 0.1, 0.93, 0.49, 0.82, 0.88, 0.68, 0.06
0.48, 0.92, 0.68, 0.05, 0.92, 0.56, 0.17, 0.05, 0.59
0.03, 0.6, 0.4, 0.33, 0.21, 0.25, 0.36, 0.22, 0.32
0.04, 0.17, 0.22, 0.11, 0.86, 0.74, 0.51, 0.95, 0.1
0.81, 0.77, 0.85, 0.88, 0.62, 0.87, 0.94, 0.75, 0.88
0.87, 0.95, 0.04, 0.62, 0.2, 0.55, 0.2, 0.35, 0.46
0.25, 0.44, 0.42, 0.76, 0.46, 0.97, 0.68, 0.23, 0.75
0.69, 0.26, 0.43, 0.31, 0.39, 0.32, 0.36, 0.69, 0.39
0.99, 0.26, 0.51, 0.11, 0.19, 0.37, 0.12, 0.62, 0.92
0.35, 0.01, 0.67, 0.12, 0.3, 0.93, 0.77, 0.88, 0.35
0.91, 0.61, 0.49, 0.3, 0.03, 0.0, 0.57, 0.56, 0.83
0.74, 0.87, 0.62, 0.2, 0.78, 0.2, 0.56, 0.44, 0.67
0.58, 0.08, 0.89, 0.05, 0.86, 0.07, 0.06, 0.4, 0.14
0.11, 0.52, 0.61, 0.6, 0.6, 0.89, 0.59, 0.11, 0.91
0.02, 0.45, 0.09, 0.76, 0.92, 0.61, 0.67, 0.13, 0.04
0.61, 0.32, 0.13, 0.15, 0.85, 0.27, 0.31, 0.59, 0.72
0.63, 0.82, 0.1, 0.55, 0.04, 0.01, 0.8, 0.65, 0.77
0.98, 0.89, 0.62, 0.28, 0.58, 0.85, 0.03, 0.96, 0.11
0.16, 0.95, 0.94, 0.87, 0.83, 0.31, 0.31, 0.4, 0.19
0.16, 0.57, 0.5, 0.84, 0.51, 0.21, 0.24, 0.43, 0.68
0.06, 0.43, 0.83, 0.27, 0.89, 0.53, 0.5, 0.82, 0.09
0.51, 0.43, 0.42, 0.87, 0.94, 0.53, 0.18, 0.32, 0.4
